uri,primary_name_display,replaced
http://dx.doi.org/10.13039/100017808,"AEON Environmental Foundation",
http://dx.doi.org/10.13039/100007532,"AES Brasil",
http://dx.doi.org/10.13039/100007531,"AES Corporation",
http://dx.doi.org/10.13039/100007533,"AES Sul",
http://dx.doi.org/10.13039/501100002706,"AFA Försäkring",
http://dx.doi.org/10.13039/501100002707,"AFC Technologies",
http://dx.doi.org/10.13039/100005325,"AFCEA Educational Foundation",
http://dx.doi.org/10.13039/100014999,"AFCEA International",
http://dx.doi.org/10.13039/501100020292,"AFI Research Collection",
http://dx.doi.org/10.13039/501100004923,"AFM-Téléthon",R
http://dx.doi.org/10.13039/100007525,"AG Bell Academy for Listening and Spoken Language",
http://dx.doi.org/10.13039/100006083,"AGA Research Foundation",
http://dx.doi.org/10.13039/100017814,"AGC",
http://dx.doi.org/10.13039/100011915,"AGD Foundation",
http://dx.doi.org/10.13039/100011047,"AGE-WELL",
http://dx.doi.org/10.13039/501100019928,"AGER foundation",
http://dx.doi.org/10.13039/100014757,"AGRO Division",
http://dx.doi.org/10.13039/100002098,"AGS Foundation for Health in Aging",
http://dx.doi.org/10.13039/100012347,"AHDB Beef and Lamb",
http://dx.doi.org/10.13039/501100008601,"AHDB Potatoes",
http://dx.doi.org/10.13039/501100016214,"AHEAD Optoelectronics",
http://dx.doi.org/10.13039/100005327,"AHIMA Foundation",
http://dx.doi.org/10.13039/100016028,"AHLA Foundation",
http://dx.doi.org/10.13039/100005328,"AIAA Foundation",
http://dx.doi.org/10.13039/100006392,"AIDS Clinical Trials Group",
http://dx.doi.org/10.13039/501100005932,"AIDS Fondet",
http://dx.doi.org/10.13039/100017816,"AIDS Institute, New York State Department of Health",
http://dx.doi.org/10.13039/100007554,"AIDS Life",
http://dx.doi.org/10.13039/100017765,"AIM Photonics",
http://dx.doi.org/10.13039/100007552,"AIM at Melanoma",
http://dx.doi.org/10.13039/501100018931,"AIO-Studien",
http://dx.doi.org/10.13039/501100020952,"AIP Network Laboratory",
http://dx.doi.org/10.13039/501100009151,"AIRIcerca",
http://dx.doi.org/10.13039/100005305,"AIST Foundation",
http://dx.doi.org/10.13039/100003583,"AJCC Research Foundation",
http://dx.doi.org/10.13039/100002556,"AJS Foundation for Metabolic Diseases",
http://dx.doi.org/10.13039/501100019224,"AKL Research and Development",
http://dx.doi.org/10.13039/100000971,"ALS Association",
http://dx.doi.org/10.13039/100002561,"ALS Hope Foundation",
http://dx.doi.org/10.13039/100006401,"ALS Recovery Fund",
http://dx.doi.org/10.13039/100009017,"ALS Society of Canada",
http://dx.doi.org/10.13039/100006402,"ALS Therapy Alliance",
http://dx.doi.org/10.13039/100003566,"ALS Therapy Development Institute",
http://dx.doi.org/10.13039/100017908,"ALSAM Foundation",
http://dx.doi.org/10.13039/501100009596,"AMAG Austria Metall",
http://dx.doi.org/10.13039/100013595,"AMAG Pharmaceuticals",
http://dx.doi.org/10.13039/100005336,"AMBUCS",
http://dx.doi.org/10.13039/100016587,"AME Publishing",
http://dx.doi.org/10.13039/100005160,"AMERICAN SOCIETY OF TRANSPLANTATION",
http://dx.doi.org/10.13039/100016197,"AMVETS",
http://dx.doi.org/10.13039/100006607,"AMX",
http://dx.doi.org/10.13039/100017191,"ANGLE",
http://dx.doi.org/10.13039/501100014336,"ANU Centre for European Studies",
http://dx.doi.org/10.13039/501100001702,"AO Foundation",
http://dx.doi.org/10.13039/100001473,"AO North America",
http://dx.doi.org/10.13039/100004673,"AOL",
http://dx.doi.org/10.13039/501100015086,"AOP Orphan",
http://dx.doi.org/10.13039/100002617,"AORN Foundation",
http://dx.doi.org/10.13039/501100002732,"AOSpine",
http://dx.doi.org/10.13039/501100014745,"APC Microbiome Institute",
http://dx.doi.org/10.13039/100015600,"APDT Foundation",
http://dx.doi.org/10.13039/100016307,"APIS-GENE",
http://dx.doi.org/10.13039/100018678,"APJ Abdul Kalam Technological University",
http://dx.doi.org/10.13039/100016306,"APL Systems Oy",
http://dx.doi.org/10.13039/100011804,"APNIC Foundation",
http://dx.doi.org/10.13039/501100001901,"ARA Conference, Australian Rheumatology Association",
http://dx.doi.org/10.13039/100015360,"ARC Centre for Nanoscale BioPhotonics",
http://dx.doi.org/10.13039/501100020534,"ARC Centre of Excellence for All-Sky Astrophysics",
http://dx.doi.org/10.13039/501100015792,"ARC Centre of Excellence for Children and Families over the Life Course",
http://dx.doi.org/10.13039/501100019681,"ARC Centre of Excellence for Translational Photosynthesis",
http://dx.doi.org/10.13039/501100009294,"ARC Centre of Excellence in Cognition and its Disorders",R
http://dx.doi.org/10.13039/501100019569,"ARC Research Hub for Advanced Manufacturing of Medical Devices",
http://dx.doi.org/10.13039/501100014713,"ARC Training Centre in Lightweight Automotive Structures",
http://dx.doi.org/10.13039/100006665,"ARC of the Piedmont",
http://dx.doi.org/10.13039/501100016989,"ARCHER Service",
http://dx.doi.org/10.13039/100008351,"ARISE-The Scoliosis Research Trust",
http://dx.doi.org/10.13039/100015890,"ARK Therapeutic",
http://dx.doi.org/10.13039/100013213,"ARUP Institute for Clinical and Experimental Pathology",
http://dx.doi.org/10.13039/100015079,"ARUP Laboratories",
http://dx.doi.org/10.13039/100006325,"ARVO Foundation for Eye Research",
http://dx.doi.org/10.13039/100008233,"ASAE Foundation",
http://dx.doi.org/10.13039/100006092,"ASCLS Education and Research Fund",
http://dx.doi.org/10.13039/100005930,"ASCRS Research Foundation",
http://dx.doi.org/10.13039/100001959,"ASDA Foundation",
http://dx.doi.org/10.13039/100016234,"ASEAN-European Academic University Network",
http://dx.doi.org/10.13039/501100007276,"ASELSAN",
http://dx.doi.org/10.13039/100001948,"ASHP Research and Education Foundation",
http://dx.doi.org/10.13039/100002601,"ASIS Foundation",
http://dx.doi.org/10.13039/100014722,"ASM International",
http://dx.doi.org/10.13039/501100006339,"ASML",
http://dx.doi.org/10.13039/100009257,"ASN Foundation for Kidney Research",
http://dx.doi.org/10.13039/100007692,"ASSAB Pacific",
http://dx.doi.org/10.13039/501100014073,"ASTRON",
http://dx.doi.org/10.13039/100004347,"AT and T",
http://dx.doi.org/10.13039/100015701,"AT and T Foundation",
http://dx.doi.org/10.13039/100015336,"ATVINNUMÁL KVENNA",
http://dx.doi.org/10.13039/501100007634,"AU Optronics",
http://dx.doi.org/10.13039/501100004959,"AUTO21 Network of Centres of Excellence",
http://dx.doi.org/10.13039/501100009598,"AVL List",
http://dx.doi.org/10.13039/100007694,"AVRDC - The World Vegetable Center",
http://dx.doi.org/10.13039/501100001117,"AW Howard Memorial Trust",
http://dx.doi.org/10.13039/501100001961,"AXA Research Fund",
http://dx.doi.org/10.13039/100007751,"AXISCADES",
http://dx.doi.org/10.13039/501100002357,"AZTI-Tecnalia",
http://dx.doi.org/10.13039/501100007867,"Aachener Graduiertenschule für Computergestützte Natur- und Ingenieurwissenschaften",
http://dx.doi.org/10.13039/501100002721,"Aage V. Jensens Fonde",
http://dx.doi.org/10.13039/501100010344,"Aage og Johanne Louis-Hansens Fond",
http://dx.doi.org/10.13039/501100003131,"Aalborg Samarbejdet",
http://dx.doi.org/10.13039/501100002702,"Aalborg Universitet",
http://dx.doi.org/10.13039/501100006304,"Aalborg Universitetshospital",
http://dx.doi.org/10.13039/501100017640,"Aalborg Zoos Naturbevaringsfond",
http://dx.doi.org/10.13039/501100002666,"Aalto-yliopisto",
http://dx.doi.org/10.13039/100013065,"Aaniiih Nakoda College",
http://dx.doi.org/10.13039/501100013956,"Aard- en Levenswetenschappen, Nederlandse Organisatie voor Wetenschappelijk Onderzoek",
http://dx.doi.org/10.13039/501100009388,"Aarhus Institute of Advanced Studies, Aarhus Universitet",
http://dx.doi.org/10.13039/100007605,"Aarhus Universitet",
http://dx.doi.org/10.13039/501100002739,"Aarhus Universitets Forskningsfond",
http://dx.doi.org/10.13039/100007606,"Aarhus Universitetshospital",
http://dx.doi.org/10.13039/100010133,"Aarne Koskelon Säätiö",
http://dx.doi.org/10.13039/501100007361,"Aarne ja Aili Turusen Säätiö",
http://dx.doi.org/10.13039/100005659,"Aaron Copland Fund for Music",
http://dx.doi.org/10.13039/501100008556,"Aase Bye og Trygve J. B. Hoffs Fond til Vitenskapelig, Medisinsk Forskning",
http://dx.doi.org/10.13039/501100003035,"Aase og Ejnar Danielsens Fond",
http://dx.doi.org/10.13039/501100013851,"Aba Teachers University",
http://dx.doi.org/10.13039/501100002668,"Abant Izzet Baysal Üniversitesi",
http://dx.doi.org/10.13039/100006483,"AbbVie",
http://dx.doi.org/10.13039/100010878,"AbbVie Biotherapeutics",
http://dx.doi.org/10.13039/100006484,"AbbVie Deutschland",
http://dx.doi.org/10.13039/100011729,"Abbeyfield Research Foundation",
http://dx.doi.org/10.13039/501100008170,"Abbeyfield Society",R
http://dx.doi.org/10.13039/100008800,"Abbott Animal Health",
http://dx.doi.org/10.13039/100009014,"Abbott Canada",
http://dx.doi.org/10.13039/100011946,"Abbott Diabetes Care",
http://dx.doi.org/10.13039/100014386,"Abbott Diagnostics",
http://dx.doi.org/10.13039/100000046,"Abbott Fund",
http://dx.doi.org/10.13039/100009015,"Abbott Japan",
http://dx.doi.org/10.13039/100008977,"Abbott Korea",
http://dx.doi.org/10.13039/100001316,"Abbott Laboratories",
http://dx.doi.org/10.13039/100011952,"Abbott Laboratories de Colombia",
http://dx.doi.org/10.13039/100011953,"Abbott Medical Optics",
http://dx.doi.org/10.13039/100015124,"Abbott Molecular",
http://dx.doi.org/10.13039/100016262,"Abbott Northwestern Hospital Foundation",
http://dx.doi.org/10.13039/100011947,"Abbott Nutrition",
http://dx.doi.org/10.13039/100011948,"Abbott Pharmaceuticals",
http://dx.doi.org/10.13039/100011949,"Abbott Vascular",
http://dx.doi.org/10.13039/501100018638,"Abdul Hameed Shoman Foundation",
http://dx.doi.org/10.13039/501100004684,"Abdul Wali Khan University Mardan",
http://dx.doi.org/10.13039/100010734,"Abdullah Gül Üniversitesini Destekleme Vakfi",
http://dx.doi.org/10.13039/501100001681,"Abdus Salam International Centre for Theoretical Physics",
http://dx.doi.org/10.13039/100006684,"Abe Belsky Foundation",
http://dx.doi.org/10.13039/100005317,"Abell Foundation",
http://dx.doi.org/10.13039/100000939,"Abell-Hanger Foundation",
http://dx.doi.org/10.13039/501100008028,"Abengoa",
http://dx.doi.org/10.13039/100012233,"Abeona Therapeutics",
http://dx.doi.org/10.13039/100008726,"Abercrombie Foundation",
http://dx.doi.org/10.13039/100010040,"Abertay University",
http://dx.doi.org/10.13039/501100000315,"Aberystwyth University",
http://dx.doi.org/10.13039/100010696,"Abilene Christian University",
http://dx.doi.org/10.13039/100015532,"Ability Centre",
http://dx.doi.org/10.13039/100013577,"Abington Foundation",
http://dx.doi.org/10.13039/501100007362,"Abisch-Frenkel-Stiftung",
http://dx.doi.org/10.13039/501100020562,"Ablerex Electronics",
